City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
177,Phu Ly,VN,20.5411,105.9139,54.1,78,100,10.58,overcast clouds
178,Beringovskiy,RU,63.05,179.3167,-10.68,100,99,4.72,overcast clouds
179,Kaeo,NZ,-35.1,173.7833,63.32,85,23,8.37,few clouds
180,Yellowknife,CA,62.456,-114.3525,-5.58,85,100,5.75,light snow
181,Yulara,AU,-25.2406,130.9889,80.44,69,100,17.27,overcast clouds
182,Tirat Karmel,IL,32.7617,34.9719,50.63,79,98,8.16,overcast clouds
183,Puerto Rico,AR,-26.796,-55.024,89.65,38,4,5.01,clear sky
184,Geraldton,AU,-28.7667,114.6,70.21,88,0,4.61,clear sky
185,Kiama,AU,-34.6833,150.8667,73.58,86,100,3.0,overcast clouds
186,Jaypur,IN,18.85,82.5833,57.76,34,0,1.52,clear sky
187,Mahenge,TZ,-8.6833,36.7167,62.58,98,100,2.13,overcast clouds
188,Makakilo City,US,21.3469,-158.0858,76.28,67,15,17.18,few clouds
189,Komsomolskiy,UZ,40.4272,71.7189,36.32,93,75,2.3,mist
190,Biltine,TD,14.5333,20.9167,70.07,11,0,13.13,clear sky
191,Shemonaikha,KZ,50.6328,81.9056,-4.0,92,30,6.29,scattered clouds
192,Meulaboh,ID,4.1363,96.1285,77.97,88,90,3.83,overcast clouds
193,Kamaishi,JP,39.2667,141.8833,27.82,62,32,14.36,scattered clouds
194,Alice Springs,AU,-23.7,133.8833,72.95,100,75,12.66,broken clouds
195,Bichura,RU,50.5881,107.6022,-12.82,99,95,1.99,overcast clouds
196,Foumbot,CM,5.5079,10.6356,73.98,21,100,2.62,overcast clouds
197,Huangzhai,CN,38.0751,112.6595,18.01,83,53,3.27,broken clouds
198,Ola,RU,59.5833,151.2833,9.75,78,100,14.65,overcast clouds
199,Robertsport,LR,6.7533,-11.3686,81.19,79,100,11.39,overcast clouds
200,Chipinge,ZW,-20.1883,32.6236,65.88,87,32,7.23,scattered clouds
201,Vysha,RU,53.8477,42.3777,19.96,98,97,4.09,snow
202,Esna,EG,25.2934,32.554,55.42,41,3,9.84,clear sky
203,Samarai,PG,-10.6167,150.6667,79.59,81,100,10.87,light rain
204,Saurimo,AO,-9.6608,20.3916,66.29,91,100,3.96,overcast clouds
205,Westport,US,41.1415,-73.3579,18.25,89,100,8.01,light snow
206,Pouebo,NC,-20.4,164.5667,77.04,87,13,3.22,few clouds
207,Xuddur,SO,4.1213,43.8894,77.29,27,28,10.76,scattered clouds
208,Altay,CN,47.8667,88.1167,1.63,52,7,7.63,clear sky
209,Ulaangom,MN,49.9811,92.0667,-20.04,96,100,1.5,overcast clouds
210,La Vista,US,41.1839,-96.0311,54.45,42,0,1.01,clear sky
211,La Ligua,CL,-32.4524,-71.2311,71.38,55,29,10.67,scattered clouds
212,Charleville-Mezieres,FR,49.7667,4.7167,48.99,93,100,14.0,overcast clouds
213,Twin Falls,US,42.3505,-114.6445,18.1,64,3,0.34,clear sky
214,Tasiilaq,GL,65.6145,-37.6368,1.81,77,82,4.34,broken clouds
215,Kantunilkin,MX,21.0917,-87.45,73.24,55,100,7.34,overcast clouds
216,Okha,RU,53.5739,142.9478,-14.13,89,78,10.27,broken clouds
