City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Skibbereen,51.55,-9.2667,40.8,93,95,5.37,IE,2022-01-28 00:35:34
112,Srednekolymsk,67.45,153.6833,-30.06,97,100,4.92,RU,2022-01-28 00:36:59
113,Huarmey,-10.0681,-78.1522,71.38,84,100,8.08,PE,2022-01-28 00:38:49
114,Avera,33.194,-82.5271,43.72,45,26,5.91,US,2022-01-28 00:37:40
115,Yulara,-25.2406,130.9889,84.04,58,100,12.66,AU,2022-01-28 00:34:29
116,Port Alfred,-33.5906,26.891,70.97,88,95,14.58,ZA,2022-01-28 00:30:58
117,Kovdor,67.5662,30.4758,1.4,100,95,2.26,RU,2022-01-28 00:38:49
118,Cherskiy,68.75,161.3,-34.96,96,28,1.41,RU,2022-01-28 00:35:29
119,Klaksvik,62.2266,-6.589,41.92,75,100,19.75,FO,2022-01-28 00:32:46
120,Nome,64.5011,-165.4064,-3.84,70,0,0.0,US,2022-01-28 00:35:49
121,Sao Joao Da Barra,-21.6403,-41.0511,75.96,90,0,16.49,BR,2022-01-28 00:38:50
122,Tura,25.5198,90.2201,46.9,65,0,2.93,IN,2022-01-28 00:38:43
123,Kalaikunda,22.35,87.25,55.31,61,0,5.99,IN,2022-01-28 00:38:50
124,Zhoucheng,35.9122,116.3117,33.62,47,100,4.0,CN,2022-01-28 00:38:51
125,Puerto Ayora,-0.7393,-90.3518,73.8,84,53,6.89,EC,2022-01-28 00:35:46
126,Altay,47.8667,88.1167,-1.86,71,8,8.05,CN,2022-01-28 00:35:22
127,Luderitz,-26.6481,15.1594,66.87,75,0,22.84,NA,2022-01-28 00:36:26
128,Molde,62.7375,7.1591,37.85,69,100,6.91,NO,2022-01-28 00:38:51
129,Albany,42.6001,-73.9662,24.46,55,100,3.8,US,2022-01-28 00:31:13
130,Isangel,-19.55,169.2667,87.91,70,75,6.91,VU,2022-01-28 00:36:01
131,Yellowknife,62.456,-114.3525,-5.28,84,40,3.44,CA,2022-01-28 00:35:56
132,Port Lincoln,-34.7333,135.8667,71.6,67,85,10.25,AU,2022-01-28 00:37:13
133,Anloga,5.7947,0.8973,79.02,83,17,5.5,GH,2022-01-28 00:38:52
134,Belyy Yar,53.6039,91.3903,-5.91,92,100,0.0,RU,2022-01-28 00:35:44
135,Porto Torres,40.835,8.3972,48.09,83,76,9.37,IT,2022-01-28 00:38:52
136,San Nicolas,18.1725,120.5953,84.94,89,75,3.44,PH,2022-01-28 00:38:52
137,Neuquen,-38.9516,-68.0591,82.29,26,0,8.05,AR,2022-01-28 00:38:56
138,Kahului,20.8947,-156.47,84.22,59,20,13.8,US,2022-01-28 00:33:01
139,Sharjah,25.3573,55.4033,70.25,83,0,3.44,AE,2022-01-28 00:37:19
140,Busselton,-33.65,115.3333,68.04,45,0,11.48,AU,2022-01-28 00:35:17
141,Armizonskoye,55.9461,67.6736,0.0,100,100,6.64,RU,2022-01-28 00:38:57
142,Vitre,48.1178,-1.2058,43.68,98,100,3.98,FR,2022-01-28 00:36:49
143,Bambous Virieux,-20.3428,57.7575,73.65,83,40,5.75,MU,2022-01-28 00:36:06
144,Homer,59.6425,-151.5483,31.05,89,100,3.44,US,2022-01-28 00:32:29
145,East London,-33.0153,27.9116,72.55,90,59,16.53,ZA,2022-01-28 00:31:35
146,Qaanaaq,77.484,-69.3632,-10.03,71,31,7.56,GL,2022-01-28 00:36:01
147,Rocha,-34.4833,-54.3333,64.99,60,100,4.79,UY,2022-01-28 00:38:57
148,Portland,45.5234,-122.6762,50.41,61,0,1.01,US,2022-01-28 00:35:05
149,Pingdingshan,33.7385,113.3012,31.21,93,100,3.38,CN,2022-01-28 00:38:57
150,Catazaja,17.725,-92.0167,79.65,95,0,6.69,MX,2022-01-28 00:38:58
151,Kodiak,57.79,-152.4072,36.91,87,100,13.8,US,2022-01-28 00:31:53
152,Altamira,-3.2033,-52.2064,70.5,99,95,1.12,BR,2022-01-28 00:33:16
153,Hohhot,40.8106,111.6522,-1.91,65,0,6.71,CN,2022-01-28 00:38:58
154,Dong Hoi,17.4833,106.6,72.0,87,10,2.44,VN,2022-01-28 00:38:59
155,Gwanda,-20.9333,29.0,67.21,96,100,6.91,ZW,2022-01-28 00:38:59
