City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
600,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
603,Iraucuba,BR,87.22,overcast clouds,-3.7461,-39.7833,Hotel Terra da Amizade
606,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
607,Thinadhoo,MV,81.79,overcast clouds,0.5333,72.9333,Hotel Atlântico Rio Grande
610,Puerto Asis,CO,88.36,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
611,Puerto Suarez,BO,75.76,mist,-18.95,-57.8,Hotel casa real
628,Corumba,BR,75.11,mist,-19.0092,-57.6533,Hotel Laura Vicunha
629,Axim,GH,81.27,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
632,El Alto,PE,80.26,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
633,Kralendijk,BQ,78.44,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
634,Takoradi,GH,80.76,clear sky,4.8845,-1.7554,Raybow International Hotel
638,Bouca,CF,78.91,overcast clouds,6.5105,18.2733,Hotel Atlântico Rio Grande
644,Kendari,ID,75.31,overcast clouds,-3.945,122.4989,Hotel Wixel
646,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
653,Kasongo-Lunda,CD,76.5,overcast clouds,-6.4667,16.8167,Hotel Atlântico Rio Grande
656,San Cristobal,VE,80.78,clear sky,7.7669,-72.225,Posada Villaven C.A.
657,Indiaroba,BR,80.4,overcast clouds,-11.5192,-37.5117,Pura Vida Bahia
660,Alappuzha,IN,79.63,clear sky,9.49,76.3264,Panoramic Sea Resort
668,Namatanai,PG,79.12,light rain,-3.6667,152.4333,Seagulls Inn Namatani
670,Acandi,CO,79.34,scattered clouds,8.5063,-77.2778,Hotel Patio Bonito
671,Galle,LK,78.4,overcast clouds,6.0367,80.217,Amangalla
672,Ahuimanu,US,77.45,clear sky,21.4447,-157.8378,Paradise Bay Resort
675,Nhamunda,BR,78.67,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
677,Nioro,GM,89.76,broken clouds,13.35,-15.75,Hotel Atlântico Rio Grande
680,Santo Tomas,PH,79.05,clear sky,14.1079,121.1414,Microtel by Wyndham Batangas
